Player,Team,Position,Age,Matches played,Minutes played,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Assists,Assists per 90,xA,xA per 90,Second assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",Successful attacking actions per 90,Goals,Goals per 90,Non-penalty goals,xG,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Conceded goals,Conceded goals per 90,xG against,xG against per 90,Prevented goals,Prevented goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",Exits per 90,GK Aerial duels per 90
V. Kovalenko,Spezia,CM,25,13,916,5.4,4.13,50,1.97,50,0.39,2.95,3.63,0.49,2,0.2,0.74,0.07,0,0.49,40,0.29,5.4,76.36,1.28,53.85,0.39,0,0.49,0.2,5.21,71.7,38.42,82.86,11.89,65.29,2.55,46.15,1.08,1,0.1,1,0.23,0.02,0.49,20,20,0.49,40,1.38,42.86,4.22,37.21,0.49,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
V. Pajot,Metz,CM,31,17,1287,9.86,8.32,55.46,1.96,53.57,0.14,4.13,4.66,2.1,0,0,0.08,0.01,0,0.14,0,0,5.24,73.33,0.49,28.57,0.42,50,0.07,0.07,4.06,67.24,34.97,89.2,9.93,81.69,3.15,57.78,0.56,0,0,0,0.15,0.01,0.14,50,0,0.49,14.29,0.84,50,3.57,43.14,0.21,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
W. Cyprien,Nantes,CM,26,12,716,6.66,6.91,65.45,1.13,22.22,0.13,1.89,2.14,0.88,1,0.13,0.88,0.11,0,0.88,28.57,0,7.29,70.69,1.26,50,1.13,22.22,0.63,0.13,6.66,77.36,45.5,85.91,13.58,76.85,5.28,57.14,1.89,1,0.13,1,0.53,0.07,1.01,37.5,12.5,0.38,66.67,1.26,80,3.14,56,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
W. Endo,Stuttgart,CM,28,18,1695,10.09,8.18,59.74,3.35,57.14,0.48,4.99,6.31,1.06,1,0.05,0.47,0.02,0,0.58,27.27,0.16,6.8,78.91,0.8,33.33,0.69,23.08,0.21,0.05,6.27,68.64,48.05,87.62,13.17,73.39,2.71,52.94,1.59,1,0.05,1,2.05,0.11,0.96,22.22,5.556,0.16,33.33,2.5,46.81,7.75,45.21,0.9,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
W. McKennie,Juventus,CM,23,15,1129,9.09,6.7,61.9,3.75,46.81,0.32,4.54,5.74,1.12,0,0,0.66,0.05,0,0.4,20,0.16,3.35,59.52,1.75,50,0.48,16.67,0.72,0.4,3.75,57.45,31.09,78.72,8.05,61.39,1.91,62.5,1.99,2,0.16,2,1.67,0.13,1.2,20,13.333,0.88,45.45,1.99,64,5.9,39.19,2.15,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
W. Ndidi,Leicester City,CM,25,13,1270,11.83,10.28,62.07,4.04,57.89,0.28,5.17,6.95,1.49,0,0,0,0,0.07,0.35,0,0,4.32,62.3,0.71,10,0.5,0,0.14,0,4.82,48.53,43.8,83.66,12.69,66.48,2.98,40.48,0.78,0,0,0,0.78,0.05,0.71,20,0,0.07,0,1.06,60,3.69,50,0.43,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Walace,Udinese,CM,26,18,1633,9.42,7.44,64.44,1.54,39.29,0.17,4.63,5.11,1.38,0,0,0.93,0.05,0.06,0.66,41.67,0.28,9.09,73.94,1.21,54.55,1.1,40,0.5,0.22,7.39,80.6,47.4,87.09,15.54,73.76,5.4,58.16,1.21,0,0,0,0.92,0.05,1.27,17.39,0,0.28,60,1.32,41.67,5.57,41.58,0.28,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
William Carvalho,Real Betis,CM,29,18,1014,7.9,6.3,61.97,3.28,54.05,0.44,3.64,4.96,1.33,2,0.18,0.9,0.08,0,1.6,61.11,0.36,8.7,83.67,1.69,52.63,1.42,50,1.51,0,9.41,80.19,53.34,89.52,17.22,83.51,3.11,68.57,4.44,0,0,0,1.41,0.12,1.33,53.33,0,0.09,0,4.35,63.27,9.5,52.34,1.51,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
X. Chavalerin,Troyes,CM,30,18,1488,8.04,6.65,58.18,1.15,26.32,0.18,3.15,3.71,1.27,1,0.06,2.08,0.13,0.06,0.3,100,0.42,4.42,65.75,1.88,58.06,0.24,50,0.79,0.48,5.56,73.91,30.79,82.71,10.34,71.35,3.81,53.97,1.69,4,0.24,4,1.23,0.07,0.97,37.5,25,1.33,36.36,0.79,69.23,2.18,38.89,1.27,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Xeka,Lille,CM,27,13,1005,11.64,9.04,60.4,2.42,40.74,0.18,5.28,6.63,1.34,0,0,1.66,0.15,0.09,0.81,55.56,0.09,5.01,57.14,1.43,37.5,1.7,31.58,0.36,0.09,5.46,75.41,38.51,82.56,12.09,63.7,3.76,47.62,1.43,1,0.09,1,0.73,0.07,0.9,30,10,0.36,25,1.88,33.33,3.67,34.15,0.45,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
