Player,Team,Position,Age,Matches played,Minutes played,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Assists,Assists per 90,xA,xA per 90,Second assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",Successful attacking actions per 90,Goals,Goals per 90,Non-penalty goals,xG,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Conceded goals,Conceded goals per 90,xG against,xG against per 90,Prevented goals,Prevented goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",Exits per 90,GK Aerial duels per 90
A. Barák,Hellas Verona,CAM,27,17,1471,4.1,4.53,41.89,4.77,37.18,0.18,2.2,3.04,1.04,2,0.12,1.53,0.09,0.06,0.98,37.5,0.55,4.47,72.6,1.35,54.55,1.04,35.29,1.28,0.12,4.34,74.65,39.46,83.41,10.16,72.89,1.35,63.64,3.18,5,0.31,2,6.47,0.4,2.14,48.57,14.286,0.73,25,3,53.06,10.34,37.28,3.12,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Á. Di María,PSG,CAM,33,13,1000,4.05,3.51,46.15,0.18,0,0,2.16,3.36,0.18,3,0.27,2.69,0.24,0.27,2.88,31.25,1.08,5.85,83.08,7.65,43.53,4.32,35.42,2.52,1.44,8.46,84.04,58.86,77.52,14.22,66.46,4.77,49.06,6.3,3,0.27,3,2.68,0.24,2.43,44.44,11.111,4.5,30,5.31,55.93,9.09,49.5,4.32,3.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A. Fulgini,Angers SCO,CAM,25,18,1530,4.18,3.59,59.02,2.24,36.84,0.18,1.88,2.21,0.94,2,0.12,0.74,0.04,0.18,1.12,15.79,0.12,3.88,66.67,2.06,40,1.24,14.29,0.59,0.35,3.82,76.92,38.88,82.75,9.82,71.26,1.65,57.14,3.29,3,0.18,3,4.31,0.25,1.88,28.13,9.375,1.41,29.17,4.82,45.12,13.12,34.98,2.82,2.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A. Schöpf,Arminia Bielefeld,CAM,27,17,1461,6.1,5.11,53.01,1.66,44.44,0.12,3.14,3.33,1.17,0,0,1.55,0.1,0.06,0.25,0,0.25,3.63,76.27,1.79,51.72,0.43,28.57,0.74,0.49,3.82,70.97,32.53,82.2,8.01,70,2.09,64.71,2.4,0,0,0,2.26,0.14,1.48,20.83,0,1.36,36.36,3.02,53.06,7.89,39.84,1.66,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adama Traoré,Wolverhampton Wanderers,CAM,25,18,1143,3.23,3.46,65.91,2.36,50,0.08,0.87,1.08,0.63,0,0,1.97,0.16,0.08,0.39,60,0.63,1.57,85,2.36,60,0.39,60,1.02,1.1,2.52,65.63,24.02,79.34,3.86,73.47,1.18,46.67,11.18,0,0,0,2.15,0.17,1.81,21.74,0,3.46,38.64,12.2,75.48,21.26,59.26,2.76,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brahim Diaz,Milan,CAM,22,17,1172,3.69,3.53,63.04,2.07,7.41,0,1.23,1.76,0.46,2,0.15,1.05,0.08,0.15,1.15,33.33,0.38,4.45,74.14,2.38,64.52,1,15.38,1.46,0.23,4.22,78.18,34.56,87.56,8.6,74.11,1.46,68.42,2.92,3,0.23,3,3.67,0.28,1.69,31.82,13.636,0.46,50,4.61,38.33,11.44,30.2,2.38,2.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bruno Fernandes,Manchester United,CAM,27,18,1610,6.37,5.98,46.73,1.57,39.29,0,2.68,3.81,1.06,2,0.11,4.59,0.26,0.06,2.24,32.5,0.95,7.32,65.65,6.15,40,4.47,27.5,1.96,0.84,8.39,72,49.14,75.54,15.04,58.74,7.04,47.62,3.35,5,0.28,5,3.18,0.18,2.12,26.32,13.158,3.02,33.33,2.01,52.78,5.14,46.74,2.4,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C. Nkunku,RB Leipzig,CAM,24,18,1587,4.14,3.4,53.33,2.38,30.95,0.23,2.21,3.4,0.91,7,0.4,4.69,0.27,0.11,1.13,35,1.19,2.44,74.42,3.4,63.33,1.08,42.11,1.93,0.91,3.74,89.39,33.8,83.39,6.92,78.69,1.59,75,5.73,8,0.45,8,6.07,0.34,2.55,51.11,17.778,2.55,46.67,5.16,54.95,13.1,40.69,5.1,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D. Kamada,Eintracht Frankfurt,CAM,25,17,1304,4.14,4.69,41.18,2.42,17.14,0.07,2.07,2.59,1.1,1,0.07,0.79,0.05,0.21,0.97,35.71,0.35,4.07,79.66,1.79,50,0.83,25,1.04,0.14,4.14,78.33,29.4,81.69,8.63,72.8,1.52,77.27,2.28,1,0.07,1,2.08,0.14,1.38,15,5,0.83,16.67,2.83,56.1,7.59,42.73,2.07,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D. Payet,Olympique Marseille,CAM,34,16,1484,1.88,1.52,52,0.42,28.57,0,0.91,1.45,0.12,5,0.3,5.97,0.36,0.12,2.18,36.11,1.15,5.46,78.89,4.12,45.59,2.3,28.95,1.88,0.61,6.06,91,42.57,82.19,10.01,71.52,3.52,56.9,4.37,7,0.42,5,4.34,0.26,2.43,32.5,17.5,1.7,39.29,3.7,57.38,7.52,45.16,2.49,2.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D. Praet,Torino,CAM,27,14,851,5.92,5.39,54.9,2.12,20,0,2.43,3.58,1.48,1,0.11,2.52,0.27,0,0.42,75,1.16,3.91,70.27,3.38,65.63,0.95,55.56,1.27,1.59,5.18,75.51,32.36,78.76,8.46,70,2.01,73.68,3.81,1,0.11,1,1.97,0.21,1.48,21.43,7.143,2.96,50,2.96,57.14,7.19,36.76,3.17,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D. Szoboszlai,RB Leipzig,CAM,21,17,1126,6.63,5.12,54.69,2.48,45.16,0.16,3.84,5.83,0.56,4,0.32,5.33,0.43,0.24,1.44,22.22,1.2,5.04,71.43,3.6,68.89,1.12,28.57,2.16,0.88,5.52,84.06,46.76,83.08,10.23,71.88,2.24,75,4.08,4,0.32,4,4.27,0.34,2.24,35.71,14.286,2.48,45.16,3.92,46.94,6.79,42.35,3.04,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D. Verde,Spezia,CAM,25,17,906,2.88,2.48,44,0.6,33.33,0.1,1.79,2.24,0.2,2,0.2,1.89,0.19,0,1.19,33.33,0.7,5.17,69.23,4.27,46.51,1.39,28.57,1.09,0.89,6.56,75.76,34.27,77.1,10.13,67.65,3.58,63.89,4.47,3,0.3,3,2.77,0.28,2.98,50,10,2.48,40,2.88,55.17,5.07,47.06,1.89,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Silva,Real Sociedad,CAM,36,11,805,4.02,4.36,53.85,1.34,33.33,0,1.57,2.44,1.34,1,0.11,1.04,0.12,0.11,1.34,25,0.45,5.14,82.61,2.35,71.43,1.23,18.18,1.57,0,4.36,84.62,46.4,88.67,12.75,78.07,1.57,78.57,2.12,0,0,0,0.91,0.1,1.12,20,0,0.34,0,3.02,51.85,7.04,44.44,2.12,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Denis Suárez,Celta de Vigo,CAM,28,20,1520,5.8,7.11,45,1.24,52.38,0.12,2.61,3.84,1.48,1,0.06,2.67,0.16,0.12,1.54,23.08,0.3,8.64,70.55,2.84,43.75,1.72,20.69,0.41,0.71,6.69,79.65,51.63,82.11,16.52,72.04,4.03,50,3.26,2,0.12,2,1.08,0.06,0.77,38.46,15.385,1.72,37.93,3.61,54.1,6.1,44.66,0.77,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E. Forsberg,RB Leipzig,CAM,30,17,986,4.02,3.29,61.11,0.82,22.22,0.09,1.83,2.88,0.55,0,0,2.32,0.21,0.09,1.55,58.82,0.64,4.38,62.5,3.01,72.73,1.46,56.25,2.28,0.27,3.92,93.02,33.59,82.61,8.4,67.39,1.1,41.67,4.11,4,0.37,1,6.01,0.55,2.83,35.48,12.903,1,27.27,2.92,65.63,7.76,40,2.92,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E. Löwen,Bochum,CAM,24,13,862,8.67,7.2,63.77,3.76,50,0.1,3.76,4.54,0.84,2,0.21,2.2,0.23,0,0.1,0,0.31,4.39,66.67,1.57,46.67,0.73,28.57,0.52,0.31,5.95,68.42,29.97,75.26,10.65,69.61,2.71,53.85,1.98,0,0,0,1.25,0.13,2.19,33.33,0,1.36,30.77,2.4,34.78,6.89,21.21,1.36,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F. Ribéry,Salernitana,CAM,38,12,943,3.15,4.39,43.48,0.57,0,0,1.24,1.45,1.53,2,0.19,3.91,0.37,0,1.15,66.67,1.15,4.29,77.78,2.67,71.43,0.48,60,2.58,0.57,4.58,79.17,35.03,84.2,9.16,81.25,0.95,70,5.25,0,0,0,0.94,0.09,0.95,20,0,2,28.57,6.97,53.42,17.75,38.17,3.34,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F. Wirtz,Bayer Leverkusen,CAM,18,16,1278,4.86,5.21,62.16,1.27,22.22,0,1.62,2.22,0.56,7,0.49,3.04,0.21,0.28,2.18,38.71,1.2,4.44,65.08,3.59,58.82,1.9,33.33,2.25,0.56,5.63,77.5,35,78.27,10.42,66.89,2.25,65.63,3.87,5,0.35,5,3.42,0.24,1.76,40,20,1.27,44.44,3.45,51.02,10.28,39.73,2.46,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G. Caprari,Hellas Verona,CAM,28,19,1468,6.07,6.25,55.88,1.35,13.64,0,2.21,3.14,1.53,5,0.31,2.9,0.18,0.18,1.47,45.83,0.74,4.05,68.18,3.68,63.33,1.59,46.15,1.9,0.8,5.64,80.43,39.36,81.46,11.28,71.2,2.15,62.86,4.6,6,0.37,5,3.62,0.22,2.21,30.56,16.667,2.21,36.11,5.4,45.45,14.53,36.71,3.25,2.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G. Kakuta,Lens,CAM,30,16,1052,5.13,5.22,60.66,1.54,33.33,0.09,1.71,2.01,0.94,1,0.09,2.69,0.23,0.09,1.03,50,0.94,6.07,57.75,2.48,68.97,1.63,15.79,0.86,1.11,4.71,83.64,34.9,76.47,8.21,56.25,2.48,34.48,4.71,2,0.17,2,1.91,0.16,2.14,48,8,2.22,50,4.02,51.06,12.75,37.58,1.8,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G. Raspadori,Sassuolo,CAM,21,21,1510,5.19,4.83,60.49,1.07,27.78,0.06,1.91,2.83,0.83,2,0.12,1.54,0.09,0,0.54,33.33,0.42,1.55,65.38,1.49,60,0.48,25,1.13,0.24,2.44,51.22,29.74,83.77,4.11,68.12,1.37,52.17,3.28,6,0.36,6,5.84,0.35,2.38,37.5,15,0.95,25,3.99,49.25,11.98,32.34,3.64,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
H. Aouar,Olympique Lyonnais,CAM,23,19,1628,4.53,4.15,58.67,1.27,21.74,0.06,1.77,2.53,0.83,2,0.11,2.32,0.13,0.06,0.88,43.75,0.55,5.2,74.47,1.99,55.56,1.16,33.33,1.11,0.17,4.2,84.21,40.74,86.97,9.45,78.36,1.77,46.88,4.7,3,0.17,3,5.14,0.28,2.54,36.96,6.522,0.44,62.5,5.31,58.33,10.78,47.18,3.04,3.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
H. Çalhanoğlu,Internazionale,CAM,27,17,1187,6.22,4.78,55.56,1.14,33.33,0.15,2.5,3.72,1.14,7,0.53,4.86,0.37,0.08,0.91,41.67,0.68,9.63,73.23,3.34,40.91,1.9,36,1.21,0.91,8.04,87.74,58.31,87,15.7,76.33,4.78,61.9,3.18,6,0.45,4,3.77,0.29,2.65,28.57,17.143,1.74,47.83,1.82,66.67,4.85,46.88,1.67,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I. Kebbal,Reims,CAM,23,18,1215,6.22,5.78,66.67,1.04,14.29,0,2,2.33,0.59,3,0.22,2.16,0.16,0,1.04,71.43,0.59,4.3,81.03,3.33,66.67,0.67,55.56,1.63,0.67,6.44,87.36,35.04,80.97,10.3,79.86,1.26,70.59,4.59,1,0.07,1,0.79,0.06,1.11,13.33,6.667,2.44,33.33,4.37,66.1,10.67,50.69,1.56,2.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
J. Berthomier,Clermont,CAM,32,17,1185,4.86,4.71,62.9,1.22,56.25,0.08,1.75,2.16,0.53,3,0.23,3.99,0.3,0,0.99,38.46,0.53,7.06,81.72,2.28,53.33,0.99,30.77,0.84,0.68,7.67,83.17,65.39,88.97,15.19,82,3.87,70.59,2.51,1,0.08,1,1.16,0.09,1.22,25,6.25,1.97,46.15,1.9,48,5.7,33.33,1.9,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
J. Dudziak,Greuther Fürth,CAM,26,13,715,5.79,5.16,51.22,2.39,26.32,0,2.64,3.04,0.76,0,0,0.99,0.13,0,1.26,10,0.63,2.77,63.64,1.89,26.67,1.38,18.18,0.13,0.5,2.39,73.68,23.03,75.41,5.92,68.09,0.5,75,2.64,1,0.13,1,1.15,0.15,1.13,22.22,11.111,1.89,26.67,3.4,51.85,10.45,39.76,1.64,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
J. Hofmann,Borussia M'gladbach,CAM,29,13,1116,6.77,5.56,57.97,0.81,30,0,3.23,4.94,0.89,0,0,2.49,0.2,0.32,1.13,14.29,0.4,4.52,76.79,2.18,55.56,1.21,6.67,0.73,0.24,4.68,67.24,45.24,83.6,11.21,69.78,1.77,54.55,2.5,7,0.56,7,3.11,0.25,2.66,45.45,21.212,1.05,23.08,2.18,40.74,5.16,32.81,3.47,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
J. Iličić,Atalanta,CAM,33,19,895,4.83,5.73,57.89,1.41,7.14,0,1.31,1.92,1.41,3,0.3,2.88,0.29,0.1,2.21,36.36,1.01,4.93,75.51,5.13,52.94,2.21,36.36,3.02,0.8,7.64,84.21,44.65,77.48,12.17,65.29,3.52,77.14,6.03,3,0.3,3,3.17,0.32,3.12,22.58,9.677,1.81,33.33,6.84,57.35,16.59,47.88,3.92,2.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
J. Maddison,Leicester City,CAM,25,18,1242,4.2,4.2,51.72,0.94,23.08,0,1.59,2.07,0.36,3,0.22,2.16,0.16,0.29,1.3,33.33,0.58,4.64,70.31,2.39,60.61,1.3,33.33,1.74,0.36,5.07,85.71,25.94,80.45,8.12,66.96,1.74,50,4.06,5,0.36,5,3.35,0.24,2.32,46.88,15.625,1.16,31.25,3.55,61.22,7.54,49.04,2.68,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
J. Ramsey,Aston Villa U23,CAM,20,17,1153,6.56,6.56,51.19,1.72,45.45,0.16,3.04,3.97,1.09,0,0,0.36,0.03,0.08,0.31,25,0.16,3.43,86.36,1.64,52.38,0.16,0,0.62,0.31,4.29,72.73,30.44,86.67,9.52,82.79,1.09,57.14,2.34,2,0.16,2,1.46,0.11,1.25,25,12.5,1.72,22.73,3.2,48.78,8.27,43.4,1.64,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Havertz,Chelsea,CAM,22,15,1019,4.68,3.18,58.33,4.86,30.91,0,2.74,4.37,1.41,1,0.09,0.2,0.02,0,0.26,33.33,0.18,2.21,88,0.88,90,0.26,33.33,0.79,0.26,2.65,70,27.11,85.34,4.33,81.63,0.71,62.5,2.91,2,0.18,2,3.04,0.27,2.38,29.63,7.407,1.06,33.33,3.09,57.14,10.25,31.03,4.5,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Linetty,Torino,CAM,26,13,803,4.82,6.39,45.61,2.35,19.05,0.11,1.68,2.59,2.91,1,0.11,1.32,0.15,0,0.45,50,0.34,2.24,85,1.12,50,0.34,66.67,1.01,0,3.36,66.67,23.99,80.37,7.06,69.84,0.45,75,1.12,0,0,0,0.85,0.1,1.57,14.29,0,0.22,0,1.68,40,6.16,30.91,1.91,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Volland,Monaco,CAM,29,18,1349,3.74,5.94,41.57,3.54,33.96,0,0.93,1.39,1.8,4,0.27,1.95,0.13,0,1.07,18.75,0.33,3.94,72.88,2.6,48.72,1.2,22.22,1.07,0.27,3.47,84.62,22.68,73.24,6.47,63.92,1.93,65.52,2.34,5,0.33,4,3.42,0.23,1.73,50,19.231,0.87,30.77,1.8,55.56,7.41,36.04,3,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kang-In Lee,Mallorca,CAM,20,15,1050,4.46,5.66,36.36,2.83,15.15,0.09,2.14,3.02,1.54,2,0.17,1.29,0.11,0,0.69,50,0.6,2.91,64.71,1.46,52.94,0.77,33.33,0.86,0.34,3.77,63.64,24.86,78.62,6,68.57,2.91,55.88,4.46,1,0.09,1,1.02,0.09,2.31,48.15,3.704,1.29,20,4.29,64,12.94,42.38,1.29,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Blas,Nantes,CAM,24,19,1728,4.58,4.64,57.3,1.56,46.67,0,1.82,1.96,1.04,0,0,1.04,0.05,0.1,1.51,48.28,0.31,4.53,77.01,1.61,67.74,0.83,37.5,0.78,0.26,3.75,76.39,27.24,81.07,7.24,71.94,2.03,69.23,4.48,7,0.36,5,6.35,0.33,2.34,42.22,15.556,1.2,21.74,5.52,45.28,13.7,34.6,2.66,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Nmecha,Wolfsburg,CAM,23,15,1017,5.22,4.69,62.26,3.63,43.9,0.18,1.86,2.86,1.95,0,0,1.53,0.14,0,0.8,66.67,0.35,1.42,62.5,2.3,50,0.62,57.14,0.97,0.53,2.57,55.17,21.5,68.72,4.34,48.98,0.97,27.27,4.6,6,0.53,6,4.89,0.43,2.83,43.75,18.75,1.59,27.78,3.81,62.79,10.62,45,4.6,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Pellegrini,Roma,CAM,25,15,1332,5.41,5.07,52,2.09,45.16,0.14,1.96,2.67,1.55,4,0.27,3.66,0.25,0.07,1.42,38.1,0.68,7.03,70.19,3.11,54.35,1.82,40.74,1.35,0.81,6.76,78,36.08,78.65,12.16,68.89,3.18,53.19,4.39,6,0.41,6,5.05,0.34,3.38,28,12,2.16,37.5,4.53,46.27,9.12,40.74,3.72,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Stindl,Borussia M'gladbach,CAM,33,17,1276,6.07,5.22,52.7,3.46,22.45,0.14,2.75,3.71,1.55,4,0.28,0.99,0.07,0,1.2,41.18,0.78,4.23,75,2.05,55.17,1.27,44.44,1.13,0.21,4.37,75.81,39.15,84.68,9.1,75.97,1.69,66.67,1.62,2,0.14,2,3.77,0.27,1.41,45,10,0.71,40,0.78,27.27,5.78,26.83,2.19,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Trossard,Brighton,CAM,27,19,1756,5.79,5.64,64.55,0.97,31.58,0,2.1,3.27,0.82,1,0.05,1.56,0.08,0.1,0.92,55.56,0.31,3.54,82.61,3.02,67.8,0.77,53.33,1.69,0.51,4.2,78.05,31.37,81.37,7.84,71.24,2.26,63.64,4.51,4,0.21,3,4.43,0.23,2.51,40.82,8.163,2.05,37.5,3.9,56.58,11.48,33.48,3.59,2.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Aramu,Venezia,CAM,26,17,1118,5.8,4.51,57.14,2.17,11.11,0.16,2.66,2.97,1.13,3,0.24,2.98,0.24,0.16,1.45,44.44,0.48,3.7,50,3.46,32.56,1.77,18.18,0.72,0.97,4.43,65.45,30.27,70.48,8.37,57.69,2.66,36.36,3.46,5,0.4,3,2.96,0.24,2.01,44,20,3.06,21.05,2.82,45.71,9.18,37.72,1.29,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Lanzini,West Ham United,CAM,28,15,748,5.66,4.69,56.41,0.96,12.5,0,2.53,3.48,0.6,1,0.12,1.17,0.14,0.12,0.48,50,0.36,4.69,94.87,1.68,35.71,0.36,33.33,1.2,0,5.66,80.85,55.23,93.68,12.87,85.98,1.2,80,2.05,4,0.48,2,1.91,0.23,1.2,50,40,0.84,14.29,1.8,60,6.02,50,1.2,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Mount,Chelsea,CAM,23,18,1374,5.24,5.9,57.78,1.18,33.33,0.07,1.77,2.71,0.92,4,0.26,3.72,0.24,0,0.85,46.15,0.85,2.55,71.79,3.8,55.17,0.85,38.46,1.31,1.18,4.45,85.29,36.42,82.01,9.63,76.19,0.85,46.15,4.91,7,0.46,6,5.17,0.34,2.49,52.63,18.421,3.67,37.5,3.41,53.85,8.06,37.4,4.39,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Ødegaard,Arsenal,CAM,23,18,1310,4.12,4.74,55.07,1.24,38.89,0.07,1.17,1.51,0.55,3,0.21,3.29,0.23,0.07,1.79,26.92,0.76,4.53,77.27,3.09,55.56,1.85,14.81,2.06,0.27,5.5,78.75,43.97,85.31,10.44,68.42,2.47,44.44,1.85,4,0.27,4,1.68,0.12,1.24,44.44,22.222,0.55,37.5,1.99,31.03,5.15,26.67,1.58,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Pašalić,Atalanta,CAM,26,20,1200,5.33,4.58,45.9,4.5,48.33,0.08,3.08,4.36,1.05,5,0.38,3.18,0.24,0.08,0.23,33.33,0.75,5.48,79.45,1.65,50,0.53,28.57,1.2,0.08,5.4,76.39,42.53,84.66,10.65,80.28,2.1,75,1.8,8,0.6,8,5.48,0.41,1.65,54.55,36.364,0.3,25,2.1,35.71,8.1,27.78,3.15,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Reus,Borussia Dortmund,CAM,32,18,1634,6.39,5.07,67.39,0.83,33.33,0.17,2.86,4.55,0.61,3,0.17,3.23,0.18,0.17,1.76,46.88,0.66,5.07,79.35,2.97,59.26,1.82,45.45,1.76,0.22,4.63,79.76,42.69,85.16,11.84,77.21,1.43,65.38,3.08,4,0.22,4,5.87,0.32,1.82,36.36,12.121,0.77,35.71,3.25,40.68,8.54,33.55,3.58,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manu García,Deportivo Alavés,CAM,24,17,757,4.99,5.47,45.65,1.07,44.44,0,2.5,3.58,1.66,0,0,1.09,0.13,0,1.31,27.27,0.48,9.27,76.92,3.33,50,1.19,20,0.95,0.71,7.85,74.24,40.66,79.53,12.84,71.3,6.06,66.67,4.04,0,0,0,0.11,0.01,0.48,0,0,1.55,46.15,4.76,62.5,11.41,51.04,0.12,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
N. Bajrami,Empoli,CAM,22,19,1127,3.27,2.87,63.89,0.48,0,0.08,1.28,1.7,0.48,2,0.16,3.19,0.25,0,0.8,20,0.96,2.87,61.11,3.19,50,1.04,23.08,1.6,0.96,4.31,83.33,29.63,75.2,7.59,70.53,1.28,37.5,5.03,5,0.4,2,4.36,0.35,2.48,45.16,16.129,3.27,26.83,4.95,58.06,9.82,39.02,4.31,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
N. Fekir,Real Betis,CAM,28,18,1600,4.44,5.91,51.43,2.59,23.91,0,1.35,1.88,1.8,3,0.17,2.78,0.16,0.28,1.07,63.16,0.56,4.33,84.42,2.31,46.34,0.9,43.75,1.46,0.45,4.05,90.28,33.58,85.76,9.06,78.88,1.35,62.5,6.13,4,0.23,4,4.05,0.23,2.76,46.94,8.163,1.58,28.57,7.48,49.62,19.74,38.18,3.26,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
N. Mbuku,Reims,CAM,19,17,864,4.38,3.96,55.26,1.46,42.86,0.1,1.98,2.15,0.52,0,0,0.63,0.07,0,0.83,37.5,0.21,2.29,77.27,1.35,61.54,0.31,66.67,0.52,0.31,2.92,71.43,20.73,81.91,5.1,73.47,0.42,75,3.85,1,0.1,1,1.19,0.12,1.56,53.33,6.667,1.04,30,4.48,53.49,11.56,45.95,1.35,1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
O. Duda,Köln,CAM,27,18,1213,6.97,5.19,54.29,2.6,45.71,0.07,3.12,5.45,2.08,0,0,1.33,0.1,0.07,1.26,23.53,0.37,4.6,56.45,1.85,56,1.63,18.18,0.96,0.22,4.6,67.74,34.8,76.97,9.65,63.08,2.52,58.82,3.19,2,0.15,2,3.93,0.29,2.37,40.63,6.25,0.82,36.36,3.86,42.31,10.24,35.51,2.6,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
